actor_entropy,actor_loss,actor_target_entropy,alpha_loss,alpha_value,batch_reward,critic_entropy,critic_entropy_max,critic_entropy_min,critic_loss,critic_norm_entropy,critic_norm_entropy_max,critic_norm_entropy_min,duration,episode,episode_reward,labeled_feedback,step,total_feedback,true_episode_reward
-1.5823192670173252,-28.401079099202892,-2.0,0.033759021512280725,0.08082783607409794,-0.22519836382767588,1.36169025086865,7.144973946600845,0.40263574055789675,7.170233023535345,2.343127865152261,12.294655131310531,0.6928408754240606,1.2934291362762451,36.0,-49.49936716631055,0.0,3079,0.0,0.0
-1.6367743691218268,-28.905414423991726,-2.0,0.029268148556812524,0.08057861194840239,-0.23566596778397708,1.3571755013515039,7.145866047475756,0.4016011919557434,6.0588949439451865,2.3289642039033556,12.262660778674883,0.6891598123865029,1.2102782726287842,37.0,-25.063411326147616,0.0,3176,0.0,0.0
-1.6746812751612712,-29.45871073929305,-2.0,0.02614030534804789,0.08034759238666676,-0.24716352556169646,1.3525496168234914,6.6389599510074895,0.3953858426551229,6.5696221798965615,2.317567215752356,11.375739033689204,0.6774867299905757,1.1861541271209717,38.0,-58.33950204402208,0.0,3273,0.0,0.0
-1.7332554146186592,-30.077994494094064,-2.0,0.021379420144925106,0.08014675493953591,-0.2569469680491182,1.3524070056443362,6.832230253317921,0.40313017491212827,6.791341887306921,2.315668931941396,11.698418430446349,0.6902620565030992,1.151404619216919,39.0,-41.84801348205656,0.0,3370,0.0,0.0
-1.8173676667754184,-30.938749549315148,-2.0,0.014608089363240857,0.07998052329478127,-0.2539466942094036,1.3553875955109744,7.0539678298320965,0.4029488219428308,7.46141743537077,2.3173801038683077,12.060523288766133,0.6889437959366238,1.1525256633758545,40.0,-26.83640778204426,0.0,3467,0.0,0.0
-1.7982879479726155,-31.60435167948405,-2.0,0.01611993337670962,0.07991526966674661,-0.2510901788870494,1.3563308715820312,7.732792218526204,0.39548322558403015,6.0787889162699384,2.3170889218648276,13.21031411488851,0.6756240328152975,0.041277408599853516,41.0,-5.488486469723284,0.0,3470,0.0,0.0
-1.9154043492582655,-31.68320528010732,-2.0,0.006757242198236594,0.07987323367459372,-0.2594124539611266,1.3607035482052676,7.532947970419815,0.4055820208849366,8.206080068018018,2.321225827502221,12.85064169303658,0.6918923959289629,1.1545100212097168,42.0,-0.041641483549028635,0.0,3567,0.0,-0.26429724382331965
-1.9739921771246811,-32.26288884261559,-2.0,0.0020763296543636583,0.07983274732092914,-0.26653985884682885,1.3699093461036682,7.957497448756777,0.39625174937577085,8.421702500047354,2.3313805604803153,13.54202074840151,0.6743777938957872,0.7248024940490723,43.0,-53.62433321913704,0.0,3625,0.0,0.0
-1.993633211273508,-32.83046022395498,-2.0,0.0005082497421229623,0.07982193290463782,-0.2656582477166481,1.370707055957047,7.730871724099228,0.4051543228405038,7.943484178523428,2.3261631444557427,13.119626964490438,0.687563716750784,1.1745209693908691,44.0,-1.8351610647514462,0.0,3722,0.0,-0.25
-2.0044552087783813,-33.606221425164605,-2.0,-0.0003555695575508337,0.07982075957280081,-0.2662557099283356,1.3727775971914076,7.562319389323599,0.3977508206957394,8.706940370736662,2.3232940546016105,12.798504554119306,0.6731479493613096,1.1744093894958496,45.0,-7.989999070530757,0.0,3819,0.0,0.0
